"","[0,5)","[5,18)","[18,30)","[30,40)","[40,50)","[50,60)","[60,70)","70+"
"[0,5)",NA,NA,NA,NA,NA,NA,NA,NA
"[5,18)",NA,NA,NA,NA,NA,NA,NA,NA
"[18,30)",0.0615384615384615,0.246153846153846,0.723076923076923,0.1,0.338461538461538,0.161538461538462,0.0615384615384615,0.00769230769230769
"[30,40)",0.216666666666667,0.325,0.525,0.416666666666667,0.075,0.1,0.075,0.0333333333333333
"[40,50)",0.0722222222222222,0.633333333333333,0.144444444444444,0.416666666666667,0.355555555555556,0.0944444444444444,0.0111111111111111,0.0777777777777778
"[50,60)",0.0320855614973262,0.294117647058824,0.288770053475936,0.0374331550802139,0.497326203208556,0.363636363636364,0.0160427807486631,0.0481283422459893
"[60,70)",0.00740740740740741,0.037037037037037,0.192592592592593,0.0888888888888889,0.0814814814814815,0.6,0.192592592592593,0.0962962962962963
"70+",0.024,0.024,0.024,0.072,0.064,0.104,0.112,0.648
