"","[0,5)","[5,18)","[18,30)","[30,40)","[40,50)","[50,60)","[60,70)","70+"
"[0,5)",NA,NA,NA,NA,NA,NA,NA,NA
"[5,18)",NA,NA,NA,NA,NA,NA,NA,NA
"[18,30)",0.0229007633587786,0.0916030534351145,0.114503816793893,0.0458015267175573,0.114503816793893,0.0305343511450382,0.0152671755725191,0.0305343511450382
"[30,40)",0.0260869565217391,0.0173913043478261,0.0608695652173913,0.0434782608695652,0.0521739130434783,0.0347826086956522,0.00869565217391305,0.00869565217391305
"[40,50)",0.025,0.025,0.0625,0.14375,0.075,0.0625,0.025,0.025
"[50,60)",0.0188679245283019,0.050314465408805,0.157232704402516,0.0943396226415095,0.119496855345912,0.10062893081761,0.0377358490566038,0.0566037735849057
"[60,70)",0.016260162601626,0,0.0813008130081301,0.0813008130081301,0.016260162601626,0.0487804878048781,0.0650406504065041,0.0650406504065041
"70+",0.0330578512396694,0,0.115702479338843,0.0413223140495868,0.0661157024793388,0.0495867768595041,0.0165289256198347,0.148760330578512
