"","[0,5)","[5,18)","[18,30)","[30,40)","[40,50)","[50,60)","[60,70)","70+"
"[0,5)",NA,NA,NA,NA,NA,NA,NA,NA
"[5,18)",NA,NA,NA,NA,NA,NA,NA,NA
"[18,30)",0.00740740740740741,0.0222222222222222,0.0740740740740741,0.0296296296296296,0.037037037037037,0.0148148148148148,0.00740740740740741,0
"[30,40)",0,0.0317460317460317,0.134920634920635,0.103174603174603,0.0634920634920635,0.0396825396825397,0,0.0158730158730159
"[40,50)",0,0.016304347826087,0.146739130434783,0.0869565217391304,0.179347826086957,0.0380434782608696,0,0.00543478260869565
"[50,60)",0,0.01,0.08,0.065,0.14,0.055,0.005,0.015
"[60,70)",0,0,0.0136986301369863,0,0.0273972602739726,0.0479452054794521,0,0.00684931506849315
"70+",0.00680272108843537,0,0,0,0,0,0,0
