"","[0,5)","[5,18)","[18,30)","[30,40)","[40,50)","[50,60)","[60,70)","70+"
"[0,5)",NA,NA,NA,NA,NA,NA,NA,NA
"[5,18)",NA,NA,NA,NA,NA,NA,NA,NA
"[18,30)",0,0.0072992700729927,0.0072992700729927,0,0,0,0,0
"[30,40)",0,0.0234375,0,0,0,0,0,0
"[40,50)",0,0,0,0,0,0,0,0
"[50,60)",0,0,0,0,0,0,0,0
"[60,70)",0,0,0,0,0,0,0,0
"70+",0.00680272108843538,0,0,0,0,0,0,0
